Company,Title,Role,Experience,Real Salary,Expected Salary,Education,Company Rating,Reviews of Company,Location,Skills,Link,Review Page of Company
Corner Tree Consulting,Data Scientist - Python/Machine Learning,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",10-14 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, delhi ncr",RData AnalyticsDeep LearningPythonNet CoreMachine learningAzure IoTStatistical Analysis,https://www.naukri.com/job-listings-data-scientist-python-machine-learning-corner-tree-consulting-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-10-to-14-years-010822901220,
Corner Tree Consulting,Data Scientist - Python/Machine Learning,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",10-14 Yrs ,Not disclosed,,"UG :BCA in Computers, B.Sc in Computers, B.Tech/B.E. in ComputersPG :MCA in Computers, M.Tech in Computers, MS/M.Sc(Science) in ComputersDoctorate :Doctorate Not Required",,,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",C#Deep LearningSQLPythonNet CoreData AnalyticsMachine learningAzure IoT,https://www.naukri.com/job-listings-data-scientist-python-machine-learning-corner-tree-consulting-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-10-to-14-years-010722902587,
Sterlite Technologies,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-4 Yrs ,Not disclosed,Avg. Salary - ₹9.1 Lakhs,UG :B.Tech/B.E. in Any Specialization,,(1167 Reviews),Pune,pythondata scienceGCPmachine learningIT SkillsTestingCloudscipy,https://www.naukri.com/job-listings-data-scientist-sterlite-technologies-limited-pune-2-to-4-years-170822007203,https://www.ambitionbox.com/reviews/sterlite-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
T&m,Data Scientist (Andheri Mumbai),"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,"8,00,000 - 18,00,000 PA.",,UG :Any Graduate,,(173 Reviews),Mumbai (All Areas),NLPdata sciencestatistics,https://www.naukri.com/job-listings-data-scientist-andheri-mumbai-t-and-m-services-consulting-private-limited-mumbai-all-areas-4-to-9-years-280722005123,https://www.ambitionbox.com/reviews/m-or-s-dot-t-and-m-services-consulting-pvt-ltd-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
SAVIC Technologies Private Limited,DATA SCIENTIST,,6-10 Yrs ,Not disclosed,,,,(121 Reviews),Mumbai,verbalPower BITableauPythonwritten communicationMachine LearninganalyticalR,https://www.naukri.com/job-listings-data-scientist-savic-technologies-private-limited-mumbai-6-to-10-years-160822501541,https://www.ambitionbox.com/reviews/savic-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Primo Hiring,Data Scientist - Engine Algorithm,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",1-3 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Computers, B.A in Economics, Statistics, B.Sc in Statistics, Computers, BCA in ComputersPG :MS/M.Sc(Science) in Statistics, Computers, M.A in Economics, Statistics, MCA in Computers, M.Tech in ComputersDoctorate :Ph.D/Doctorate in Statistics, Computers, Economics",,,"Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",SQLDesigndata analysistestingdata visualizationstatistical analysis,https://www.naukri.com/job-listings-data-scientist-engine-algorithm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-3-years-100822912611,
Allegis Services India Pvt. Ltd.      ,Data Scientist,"['RoleData Scientist', 'Industry TypeElectronic Components / Semiconductors', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",Not disclosed ,Not disclosed,,UG :Any Graduate,,,Bangalore/Bengaluru(WFH during Covid),pythonNatural Language Processingmachine learningNLP,https://www.naukri.com/job-listings-data-scientist-allegis-services-india-pvt-ltd-bangalore-bengaluru-5-to-8-years-260722603109,
Allegis Services India Pvt. Ltd.      ,Data Scientist,,Not disclosed ,Not disclosed,,,,,Bangalore/Bengaluru(WFH during Covid),pythonNatural Language Processingmachine learningNLP,https://www.naukri.com/job-listings-data-scientist-allegis-services-india-pvt-ltd-bangalore-bengaluru-5-to-8-years-260722003107,
ITC Infotech,Datawarehouse Senior Developer,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-6 Yrs ,Not disclosed,Avg. Salary - ₹13.9 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(1660 Reviews),Bangalore/Bengaluru,Computer visionData managementImage processingAnalyticalConsultingMachine learningData warehousingSQL,https://www.naukri.com/job-listings-datawarehouse-senior-developer-itc-infotech-india-ltd-bangalore-bengaluru-4-to-6-years-250722501350,https://www.ambitionbox.com/reviews/itc-infotech-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Add On IT Systems,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-4 Yrs ,Not disclosed,,"UG :BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any SpecializationPG :MS/M.Sc(Science) in Any Specialization, MCA in Any Specialization, M.Tech in Any SpecializationDoctorate :Doctorate Not Required",,,Bangalore/Bengaluru,Data ScienceStatistical AnalysisETLpythonIT Skillsdata visualizationmachine learning algorithms,https://www.naukri.com/job-listings-data-scientist-add-on-it-systems-bangalore-bengaluru-2-to-4-years-240822903635,
Varite,Data Scientist - 3,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-9 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(75 Reviews),Bangalore/Bengaluru,PowerPointdata miningTableaustatistical analysisExcelSQLPythonSAS,https://www.naukri.com/job-listings-data-scientist-3-varite-bangalore-bengaluru-6-to-9-years-240822501294,https://www.ambitionbox.com/reviews/varite-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
ZELIOT CONNECTED SERVICES PRIVATE LIMITED ,Sr. Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-8 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any Specialization,,(9 Reviews),Bangalore/Bengaluru,data sciencedeep learningpredictive modelingmachine learningAWSPython,https://www.naukri.com/job-listings-sr-data-scientist-zeliot-connected-services-private-limited-bangalore-bengaluru-5-to-8-years-240822010772,https://www.ambitionbox.com/reviews/zeliot-connected-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
VBeyond Corporation,Data Scientist,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,"25,00,000 - 40,00,000 PA.",,"UG :B.Tech/B.E. in Any Specialization, B.Sc in Maths, Statistics",,(65 Reviews),Bangalore/Bengaluru,Big DatapythonSparkData Warehousingmachine learningSQL,https://www.naukri.com/job-listings-data-scientist-vision-beyond-resources-india-private-limited-bangalore-bengaluru-5-to-10-years-230822010525,https://www.ambitionbox.com/reviews/vbeyond-corporation-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Coffeebeans Consulting,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-8 Yrs ,"20,00,000 - 35,00,000 PA.",,UG :Any GraduatePG :Any PostgraduateDoctorate :Any Doctorate,,(11 Reviews),Bangalore/Bengaluru,IT SkillsPythonTestingMachine LearningBig DataData Science,https://www.naukri.com/job-listings-senior-data-scientist-coffeebeans-consulting-llp-bangalore-bengaluru-4-to-8-years-230822006812,https://www.ambitionbox.com/reviews/coffeebeans-consulting-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Global Talent Pool,R Programmer,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-7 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any SpecializationPG :Any Postgraduate,,,"Vijayawada, Bangalore/Bengaluru",deep learningData analysisBackenddata scienceR ProgrammingData AnalystBusiness solutionsMonitoring,https://www.naukri.com/job-listings-r-programmer-global-talent-pool-vijayawada-bangalore-bengaluru-5-to-7-years-220822501650,
Hireflex247 India Private Limited,Data Scientist ( Senior ),"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,Bangalore/Bengaluru,Python programmingData ScienceIT SkillsPythonMachine LearningPDFIT consultingAgile,https://www.naukri.com/job-listings-data-scientist-senior-hireflex247-india-private-limited-bangalore-bengaluru-5-to-10-years-220822500997,
Allegis Services India Pvt. Ltd.      ,Data Scientist,"['RoleData Scientist', 'Industry TypeElectronic Components / Semiconductors', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",Not disclosed ,Not disclosed,,UG :Any Graduate,,,Bangalore/Bengaluru(WFH during Covid),machine learningSQLData SciencetableauHiveNLPNatural Language Processing,https://www.naukri.com/job-listings-data-scientist-allegis-services-india-pvt-ltd-bangalore-bengaluru-5-to-8-years-200722602462,
Allegis Services India Pvt. Ltd.      ,Data Scientist,"['RoleData Scientist', 'Industry TypeElectronic Components / Semiconductors', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",Not disclosed ,Not disclosed,,UG :Any Graduate,,,Bangalore/Bengaluru(WFH during Covid),deep learningnlpmachine learningdata scienceNatural Language Processingtime seriesmodel buildingclassification,https://www.naukri.com/job-listings-data-scientist-allegis-services-india-pvt-ltd-bangalore-bengaluru-1-to-3-years-130722606264,
Allstate Solutions (ASPL),Senior Consultant,"['RoleData Scientist', 'Industry TypeInsurance', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-6 Yrs ,Not disclosed,Avg. Salary - ₹11.9 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(720 Reviews),Bangalore/Bengaluru,Machine Learningpythonspark,https://www.naukri.com/job-listings-senior-consultant-allstate-solutions-private-limited-bangalore-bengaluru-4-to-6-years-050822901655,https://www.ambitionbox.com/reviews/allstate-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Maruti Suzuki,Data Scientist / Decision Scientist,"['RoleData Scientist', 'Industry TypeAutomobile', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-6 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(5736 Reviews),Bangalore/Bengaluru,Cloud computingdata scienceNeural networksMachine learningProgrammingTelematicsdata visualizationAutomotive,https://www.naukri.com/job-listings-data-scientist-decision-scientist-maruti-suzuki-india-limited-bangalore-bengaluru-2-to-6-years-270722500042,https://www.ambitionbox.com/reviews/maruti-suzuki-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
maruti Automobile- TRUE VALUE,Data Scientist / Decision Scientist,"['RoleData Scientist', 'Industry TypeAutomobile', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-7 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(27 Reviews),Bangalore/Bengaluru,Cloud computingdata scienceNeural networksMachine learningProgrammingTelematicsdata visualizationAutomotive,https://www.naukri.com/job-listings-data-scientist-decision-scientist-maruti-automobile-true-value-bangalore-bengaluru-2-to-7-years-240622500527,https://www.ambitionbox.com/reviews/maruti-true-value-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Maruti Suzuki,Data Scientist - Digital Enterprise,"['RoleData Scientist', 'Industry TypeAutomobile', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-6 Yrs ,Not disclosed,Avg. Salary - ₹14.1 Lakhs,UG :B.Tech/B.E. in Any SpecializationPG :Any Postgraduate,,(5736 Reviews),Gurgaon/Gurugram,NetworkingTime managementAnalyticalMachine learningTechnical leadershipOpen sourceAnalyticsSQL,https://www.naukri.com/job-listings-data-scientist-digital-enterprise-maruti-suzuki-india-limited-gurgaon-gurugram-3-to-6-years-220822501019,https://www.ambitionbox.com/reviews/maruti-suzuki-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Primo Hiring,Data Scientist - Engine Algorithm,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",1-3 Yrs ,Not disclosed,,"UG :B.A in Economics, Statistics, B.Tech/B.E. in Computers, BCA in Computers, B.Sc in Statistics, ComputersPG :MS/M.Sc(Science) in Statistics, Computers, MBA/PGDM in Operations, MCA in Computers, M.A in Economics, Statistics, M.Tech in ComputersDoctorate :MPHIL in Statistics, Computers, Economics, Ph.D/Doctorate in Statistics, Computers, Economics",,,"Kolkata, Mumbai, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Engine Algorithmstatistical analysisHiveSparkdata analysisRSQLPython,https://www.naukri.com/job-listings-data-scientist-engine-algorithm-primo-hiring-kolkata-mumbai-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-3-years-290722905315,
Virtusa,Senior Consultant,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-10 Yrs ,Not disclosed,Avg. Salary - ₹12.7 Lakhs,UG :Any GraduatePG :Post Graduation Not Required,,(2046 Reviews),Hyderabad/Secunderabad,deep learningDeploymentNatural language processingdata visualizationSDLCTrainingtableau,https://www.naukri.com/job-listings-senior-consultant-virtusa-consulting-services-pvt-ltd-hyderabad-secunderabad-6-to-10-years-270722907607,https://www.ambitionbox.com/reviews/virtusa-consulting-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Corner Tree Consulting,Data Scientist - Python/Machine Learning,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",10-14 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not Required",,,"Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",PythonNet CoreData AnalyticsMachine learningAzure IoTStatistical AnalysisDevOpsCICD,https://www.naukri.com/job-listings-data-scientist-python-machine-learning-corner-tree-consulting-mumbai-pune-chennai-bangalore-bengaluru-delhi-ncr-10-to-14-years-080822907413,
RiverForest Connections Private Limited,Senior Manager / Manager - Data Scientist (NLP),"['RoleData Scientist', 'Industry TypeBanking', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-7 Yrs ,Not disclosed,,UG :Any Graduate,,,"Mumbai, New Delhi, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",Data ScienceNLPData ScientistNatural Language ProcessingAIMachine Learning,https://www.naukri.com/job-listings-senior-manager-manager-data-scientist-nlp-riverforest-connections-private-limited-mumbai-new-delhi-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-mumbai-all-areas-2-to-7-years-060722006281,
AVE-Promagne Business Solutions,Data Scientist- Python/ML/DL,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-4 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,"Noida, Mumbai, Pune, Chennai, Bangalore/Bengaluru, Assam,  Sikkim,  manipur",PythonIT SkillsData ScienceMachine Learningalgorithmsexploratory data analysisdata miningartificial intelligence,https://www.naukri.com/job-listings-data-scientist-python-ml-dl-ave-promagne-business-solutions-noida-mumbai-pune-chennai-bangalore-bengaluru-assam-sikkim-manipur-2-to-4-years-030822910208,
